Step Brothers(film)	128100000.0	2008-07-25	https://en.wikipedia.org/wiki/Step_Brothers_(film)
Semi-Pro	43884904	2008-02-19	https://en.wikipedia.org/wiki/Semi-Pro
Blades of Glory	145700000.0	2007-03-30	https://en.wikipedia.org/wiki/Blades_of_Glory
Curious George(film)	69800000.0	2006-02-10	https://en.wikipedia.org/wiki/Curious_George_(film)
Talladega Nights: The Ballad of Ricky Bobby	163000000.0	2006-08-04	https://en.wikipedia.org/wiki/Talladega_Nights:_The_Ballad_of_Ricky_Bobby
Stranger than Fiction(2006 film)	53700000.0	2006-11-10	https://en.wikipedia.org/wiki/Stranger_than_Fiction_(2006_film)
The Wendell Baker Story	153169	2005-03-11	https://en.wikipedia.org/wiki/The_Wendell_Baker_Story
Lonesome Jim	174815	2005-01-22	https://en.wikipedia.org/wiki/Lonesome_Jim
The Life Aquatic with Steve Zissou	34800000.0	2004-11-20	https://en.wikipedia.org/wiki/The_Life_Aquatic_with_Steve_Zissou
Stuck on You(film)	65800000.0	2003-12-12	https://en.wikipedia.org/wiki/Stuck_on_You_(film)
Zookeeper(film)	169800000.0	2011-07-08	https://en.wikipedia.org/wiki/Zookeeper_(film)
Burlesque(2010 American film)	90500000.0	2010-11-24	https://en.wikipedia.org/wiki/Burlesque_(2010_American_film)
Faithful(1996 film)	2104439	1996-04-19	https://en.wikipedia.org/wiki/Faithful_(1996_film)
The Player(film)	28900000.0	1992-04-03	https://en.wikipedia.org/wiki/The_Player_(film)
Mermaids(1990 film)	35400000.0	1990-12-14	https://en.wikipedia.org/wiki/Mermaids_(1990_film)
Moonstruck	80600000.0	1987-12-16	https://en.wikipedia.org/wiki/Moonstruck
The Witches of Eastwick(film)	63800000.0	1987-06-12	https://en.wikipedia.org/wiki/The_Witches_of_Eastwick_(film)
Suspect(1987 film)	18782400	1987-10-23	https://en.wikipedia.org/wiki/Suspect_(1987_film)
Mask(film)	48200000.0	1985-03-08	https://en.wikipedia.org/wiki/Mask_(film)
Silkwood	35615609	1983-12-14	https://en.wikipedia.org/wiki/Silkwood
Good Times(film)	800000	1967-05-12	https://en.wikipedia.org/wiki/Good_Times_(film)
Stealing Harvard	14300000.0	2002-09-13	https://en.wikipedia.org/wiki/Stealing_Harvard
Manna from Heaven(film)	505675	2002-09-14	https://en.wikipedia.org/wiki/Manna_from_Heaven_(film)
Passionada	540833	2002-06-16	https://en.wikipedia.org/wiki/Passionada
The Royal Tenenbaums	71400000.0	2001-10-05	https://en.wikipedia.org/wiki/The_Royal_Tenenbaums
Animal Factory	43805	2000-01-24	https://en.wikipedia.org/wiki/Animal_Factory
The Crew(2000 film)	13100000.0	2000-08-25	https://en.wikipedia.org/wiki/The_Crew_(2000_film)
Rushmore(film)	19100000.0	1998-09-17	https://en.wikipedia.org/wiki/Rushmore_(film)
Trees Lounge	1300000	1996-10-11	https://en.wikipedia.org/wiki/Trees_Lounge
Dead Presidents	24100000.0	1995-10-06	https://en.wikipedia.org/wiki/Dead_Presidents
Chasers	1600000.0	1994-04-22	https://en.wikipedia.org/wiki/Chasers
It Could Happen to You(1994 film)	37939757	1994-07-29	https://en.wikipedia.org/wiki/It_Could_Happen_to_You_(1994_film)
Indecent Proposal	266600000.0	1993-04-07	https://en.wikipedia.org/wiki/Indecent_Proposal
Boiling Point(1993 film)	10058318	1993-04-16	https://en.wikipedia.org/wiki/Boiling_Point_(1993_film)
Honeymoon in Vegas	35208854	1992-08-28	https://en.wikipedia.org/wiki/Honeymoon_in_Vegas
In the Soup	256249	1992-01	https://en.wikipedia.org/wiki/In_the_Soup
White Fang(1991 film)	34800000.0	1991-01-18	https://en.wikipedia.org/wiki/White_Fang_(1991_film)
Tin Men	25400000.0	1987-03-06	https://en.wikipedia.org/wiki/Tin_Men
King of the Mountain(film)	2100000.0	1981-05-01	https://en.wikipedia.org/wiki/King_of_The_Mountain_(film)
Valentino(1977 film)	5000000	1977-10-05	https://en.wikipedia.org/wiki/Valentino_(1977_film)
Coogan's Bluff(film)	3110000	1968-10-02	https://en.wikipedia.org/wiki/Coogan%27s_Bluff_(film)
Faces(film)	275000	1968-03	https://en.wikipedia.org/wiki/Faces_(film)
Kicking &amp; Screaming(2005 film)	56100000.0	2005-05-01	https://en.wikipedia.org/wiki/Kicking_%26_Screaming_(2005_film)
Bewitched(2005 film)	131400000.0	2005-06-24	https://en.wikipedia.org/wiki/Bewitched_(2005_film)
The Producers(2005 film)	38100000.0	2005-12-16	https://en.wikipedia.org/wiki/The_Producers_(2005_film)
Wedding Crashers	285200000.0	2005-07-15	https://en.wikipedia.org/wiki/Wedding_Crashers
Starsky &amp; Hutch(film)	170268750	2004-03-05	https://en.wikipedia.org/wiki/Starsky_%26_Hutch_(film)
Anchorman: The Legend of Ron Burgundy	90600000.0	2004-06-28	https://en.wikipedia.org/wiki/Anchorman:_The_Legend_of_Ron_Burgundy
Melinda and Melinda	20100000.0	2004-09-17	https://en.wikipedia.org/wiki/Melinda_and_Melinda
Elf(film)	220400000.0	2003-11-07	https://en.wikipedia.org/wiki/Elf_(film)
Jay and Silent Bob Strike Back	33800000.0	2001-08-24	https://en.wikipedia.org/wiki/Jay_and_Silent_Bob_Strike_Back
Drowning Mona	15900000.0	2000-03-03	https://en.wikipedia.org/wiki/Drowning_Mona
The Ladies Man(2000 film)	13700000.0	2000-10-13	https://en.wikipedia.org/wiki/The_Ladies_Man_(2000_film)
The Suburbans	11130	1999-10-29	https://en.wikipedia.org/wiki/The_Suburbans
Austin Powers: The Spy Who Shagged Me	312000000.0	1999-06-11	https://en.wikipedia.org/wiki/Austin_Powers:_The_Spy_Who_Shagged_Me
Dick(film)	6300000.0	1999-08-04	https://en.wikipedia.org/wiki/Dick_(film)
Superstar(1999 film)	30600000.0	1999-10-08	https://en.wikipedia.org/wiki/Superstar_(1999_film)
A Night at the Roxbury	30300000.0	1998-10-02	https://en.wikipedia.org/wiki/A_Night_at_the_Roxbury
